VALUE,Longitude,Latitude
1.00000000,77.0692409,28.8773272
1.00000000,77.0693433,28.8773256
1.00000000,77.0694458,28.8773240
1.00000000,77.0695483,28.8773225
1.00000000,77.0696508,28.8773209
1.00000000,77.0697533,28.8773193
1.00000000,77.0698557,28.8773177
1.00000000,77.0699582,28.8773162
1.00000000,77.0692391,28.8772370
1.00000000,77.0693415,28.8772354
1.00000000,77.0694440,28.8772338
1.00000000,77.0695465,28.8772323
1.00000000,77.0696490,28.8772307
1.00000000,77.0697515,28.8772291
1.00000000,77.0698540,28.8772275
1.00000000,77.0699564,28.8772260
1.00000000,77.0700589,28.8772244
1.00000000,77.0701614,28.8772228
1.00000000,77.0703664,28.8772197
1.00000000,77.0704688,28.8772181
1.00000000,77.0705713,28.8772165
1.00000000,77.0692373,28.8771468
1.00000000,77.0693398,28.8771452
1.00000000,77.0694422,28.8771436
1.00000000,77.0695447,28.8771421
1.00000000,77.0696472,28.8771405
1.00000000,77.0697497,28.8771389
1.00000000,77.0698522,28.8771373
1.00000000,77.0699546,28.8771358
1.00000000,77.0700571,28.8771342
1.00000000,77.0701596,28.8771326
1.00000000,77.0702621,28.8771310
1.00000000,77.0703646,28.8771295
1.00000000,77.0704671,28.8771279
1.00000000,77.0693380,28.8770550
1.00000000,77.0694405,28.8770534
1.00000000,77.0695429,28.8770519
1.00000000,77.0696454,28.8770503
1.00000000,77.0697479,28.8770487
1.00000000,77.0698504,28.8770471
1.00000000,77.0699529,28.8770456
1.00000000,77.0700553,28.8770440
1.00000000,77.0701578,28.8770424
1.00000000,77.0702603,28.8770408
1.00000000,77.0703628,28.8770393
1.00000000,77.0704653,28.8770377
1.00000000,77.0695411,28.8769616
1.00000000,77.0696436,28.8769601
1.00000000,77.0697461,28.8769585
1.00000000,77.0698486,28.8769569
1.00000000,77.0699511,28.8769554
1.00000000,77.0700536,28.8769538
1.00000000,77.0701560,28.8769522
1.00000000,77.0702585,28.8769506
1.00000000,77.0703610,28.8769491
1.00000000,77.0704635,28.8769475
1.00000000,77.0701542,28.8768620
1.00000000,77.0702567,28.8768604
1.00000000,77.0703592,28.8768589
1.00000000,77.0704617,28.8768573
1.00000000,77.0705642,28.8768557
1.00000000,77.0701525,28.8767718
1.00000000,77.0702549,28.8767702
1.00000000,77.0703574,28.8767686
1.00000000,77.0704599,28.8767671
1.00000000,77.0705624,28.8767655
1.00000000,77.0706649,28.8767639
1.00000000,77.0701507,28.8766816
1.00000000,77.0702531,28.8766800
1.00000000,77.0703556,28.8766784
1.00000000,77.0704581,28.8766769
1.00000000,77.0705606,28.8766753
1.00000000,77.0706631,28.8766737
1.00000000,77.0702514,28.8765898
1.00000000,77.0703538,28.8765882
1.00000000,77.0704563,28.8765867
1.00000000,77.0705588,28.8765851
